Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Atypisch fibroxanthoom,https://www.kanker.nl/kankersoorten/atypisch-fibroxanthoom,2026-05-31 14:54:16,1e9d9d820125ef55a3a41c4a2e52dae16c9ea16aac5adb3aba62c718a2c82107,"Een atypisch fibroxanthoomis een zeldzame soort huidkanker. Deze soort huidkanker groeit snel, maar zaait bijna nooit uit.",Een atypisch fibroxanthoom is goed te behandelen. De kans dat je geneest is heel groot.,"Een atypisch fibroxanthoom is een knobbel op je huid, meestal roze of rood. Soms zit er een wondje op de knobbel. Soms doet de knobbel pijn. Lees hoe een atypisch fibroxanthoom eruitziet .",De belangrijkste risicofactor voor een atypisch fibroxanthoom is de zon. De zon geeft uv-straling af. Met veel uv-straling op je huid heb je meer kans om een atypisch fibroxanthoom te krijgen.,Heb je een atypisch fibroxanthoom? Dan krijg je meestal een operatie om de tumor weg te halen.
Anuskanker,https://www.kanker.nl/kankersoorten/anuskanker,2026-05-31 14:54:16,7d98bfe6993858028e2ba2907643560fd902476999d88e2b663d3c0dce937275,Anuskanker is kanker die ontstaat in de anus. Of in de huid om de anus heen. Een ander woord voor anus is poepgat. Anuskanker komt weinig voor. Per jaar krijgen ongeveer 300 mensen de diagnose. Anuskanker heet ook wel anuscarcinoom.,"Veel mensen gaan op zoek naar wat anuskanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Je vooruitzichten hangen af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan meer vertellen. Bekijk de overlevingscijfers van anuskanker .",Bij anuskanker kan zitten of poepen pijnlijk zijn. Ook kun je een zwelling of knobbeltje hebben aan je anus. Of je hebt bloed bij je ontlasting (poep). Het kan ook zijn dat je vaker naar de wc moet om te poepen. Of juist minder vaak. Sommige mensen met anuskanker hebben lange tijd geen klachten.,"De oorzaak van anuskanker is meestal een infectie met HPV. Iedereen kan een infectie met HPV krijgen. Maar de kans dat HPV tot kanker leidt, is heel klein.","Er zijn verschillende behandelingen mogelijk bij anuskanker. De meeste mensen krijgen bestraling. Dat kan in combinatie met chemotherapie zijn, dan heet de behandeling chemoradiatie."
Alvleesklierkanker,https://www.kanker.nl/kankersoorten/alvleesklierkanker,2026-05-31 14:54:16,515c325291ac6227198437847323f544c62d3113f7b22adf3174c7841cb34770,Alvleesklierkanker is kanker die in de alvleesklier ontstaat. De medische term hiervoor is pancreascarcinoom of pancreaskanker. De vooruitzichten bij alvleesklierkanker zijn meestal niet goed.,"De vooruitzichten bij alvleesklierkanker zijn niet goed. Dat komt omdat alvleesklierkanker vaak pas wordt ontdekt als je al uitzaaiingen hebt. Maar ook als je geen uitzaaiingen hebt, is de kans klein dat je beter wordt. Vijf jaar na de diagnose leven nog ongeveer 5 van de 100 mensen. De beste overlevingskansen zijn als de tumor met een operatie verwijderd kan worden, in combinatie met chemotherapie behandeling. Bekijk de overlevingscijfers van alvleesklierkanker .","De meeste mensen met alvleesklierkanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bijvoorbeeld geelzucht, afvallen, pijn of misselijkheid.",De precieze oorzaak van alvleesklierkanker is niet bekend. Wel zijn er factoren die de kans groter maken dat je alvleesklierkanker krijgt.,De meeste mensen met alvleesklierkanker krijgen chemotherapie of een behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als je geen uitzaaiingen hebt. Of als de tumor niet doorgroeit in de grote bloedvaten.
Baarmoederkanker,https://www.kanker.nl/kankersoorten/baarmoederkanker,2026-05-31 14:54:16,22ef65afdf18a6b7611fe890c9ea7f3e23bd24abdb5abde937d0986eeee38677,Baarmoederkanker is kanker die in de baarmoeder ontstaat. Het medische woord is endometriumcarcinoom. Baarmoederkanker komt meestal voor na de overgang.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederkanker goed te behandelen en wat kun je verwachten?  Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoederkanker .",Baarmoederkanker ontstaat heel langzaam. In het begin heb je vaak geen klachten. De eerste symptomen zijn meestal: onverwacht bloedverlies uit je vagina na de overgang of tussen je menstruaties door.,Er zijn risicofactoren die de kans op baarmoederkanker groter maken. Jarenlang veel oestrogeen hebben is de grootste risicofactor.,"Er zijn verschillende behandelingen mogelijk bij baarmoederkanker. Zoals een operatie, chemoradiatie, bestraling, chemotherapie, hormoontherapie of immunotherapie."
Baarmoedersarcoom,https://www.kanker.nl/kankersoorten/baarmoedersarcoom,2026-05-31 14:54:23,0c1e045610d38fad6ed9c8354bb18dc59fa8a12daf37bd75945047efd3e8caab,Een baarmoedersarcoom is een zeldzame vorm van kanker in de baarmoeder. De tumor ontstaat in het spierweefsel of bindweefsel van de baarmoeder. Een ander woord voor baarmoedersarcoom is uterussarcoom.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoedersarcoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoedersarcoom .",Baarmoedersarcoom kun je opmerken doordat je onverwacht bloed verliest uit je vagina. Na de overgang of tussen je menstruaties door.,Deze informatie is gecontroleerd door deskundigen.,"Ben je in het verleden bestraald op je bekken, bijvoorbeeld voor baarmoederhalskanker of endeldarmkanker? Dan heb je een grotere kans om na de behandeling baarmoedersarcoom te krijgen."
Basaalcelcarcinoom,https://www.kanker.nl/kankersoorten/basaalcelcarcinoom,2026-05-31 14:54:31,4ee1720136ce0e585bb04fdce978557e365b33321e0c21c2ab907cd65ef03359,Een basaalcelcarcinoom is een kwaadaardig plekje dat ontstaat op je huid. Het is de meest voorkomende vorm van huidkanker. Een basaalcelcarcinoom groeit langzaam en zaait bijna nooit uit.,Een basaalcelcarcinoom zaait bijna nooit uit. De arts kan het plekje vaak helemaal weghalen. Daarom genezen bijna alle mensen met een basaalcelcarcinoom.,Een basaalcelcarcinoom kan er heel verschillend uitzien. In het begin lijkt een basaalcelcarcinoom vaak op iets anders. Bijvoorbeeld op een glad knobbeltje of zweertje. Soms lijkt het op een plekje met eczeem of schimmel. Of op een moedervlek. Een basaalcelcarcinoom doet geen pijn en jeukt bijna nooit.,Er zijn factoren die het risico op een basaalcelcarcinoom groter maken. De belangrijkste is uv-straling van de zon of zonnebank.,Meestal snijdt de arts het basaalcelcarcinoom weg. Soms wordt de plek bestraald. Of krijg je een behandeling met een crème.
Baarmoederhalskanker,https://www.kanker.nl/kankersoorten/baarmoederhalskanker,2026-05-31 14:54:16,6acedcc94f6272d35440d61eb2acf6d75be3a31bfae9995f0cc850ec1efe2a17,Baarmoederhalskanker is kanker die in de baarmoederhals ontstaat. Het medische woord is cervixcarcinoom. Baarmoederhalskanker wordt meestal ontdekt bij het bevolkingsonderzoek baarmoederhalskanker.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederhalskanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van baarmoederhalskanker .","Baarmoederhalskanker ontstaat langzaam. In het begin heb je vaak geen klachten. De eerste symptomen kunnen zijn: bloedverlies na het vrijen, bloedverlies tussen de menstruaties door, afscheiding die er anders uitziet dan je gewend bent.","Door seks kan het HPV in de vagina en baarmoederhals komen. Het virus kan dan in de cellen van het slijmvlies van de baarmoederhals gaan zitten. Bij de meeste vrouwen ruimt het afweersysteem HPV op. Als het afweersysteem HPV niet opruimt, kunnen er afwijkende cellen ontstaan. Dit heet dysplasie en kan het voorstadium van baarmoederhalskanker zijn. Zijn de cellen een beetje afwijkend? Dan kan het lichaam die cellen herkennen en zelf opruimen. Soms gebeurt dat niet. Dan gaan de cellen steeds meer afwijken van gezonde cellen. Zonder behandeling kunnen die afwijkende cellen dan veranderen in baarmoederhalskanker. Dat gebeurt meestal heel langzaam en kan wel 15 jaar duren. Meestal merk je er zelf niets van dat er afwijkende cellen in je baarmoederhals zitten. Daarom is er het bevolkingsonderzoek baarmoederhalskanker .",Je arts vertelt je welke behandelingen mogelijk zijn in jouw situatie. En hij of zij vertelt ook wat de voordelen en nadelen van die behandelingen zijn. Vertel je arts wat je belangrijk vindt. Dan kunnen jullie samen kijken wat het beste bij je past. Je kunt ook besluiten dat je geen behandeling wilt.
Bijnierkanker,https://www.kanker.nl/kankersoorten/bijnierkanker,2026-05-31 14:54:31,3b828efff9d621e9e004ca70653dbe46a9de47f281a8f5155dcaa201b12855cd,"Bijnierkanker is kanker die ontstaat in de bijnier. De bijnieren zitten bovenop de nieren, aan de achterkant van je buik. Ze maken hormonen. Bijnierkanker komt weinig voor. Per jaar krijgen ongeveer 30 mensen de diagnose. Een ander woord voor bijnierkanker is bijniercarcinoom.","Veel mensen gaan op zoek naar wat bijnierkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Hoe de ziekte verloopt, verschilt per persoon. De ziekte kan snel gaan, maar door de behandeling kun je soms nog een tijd leven, ook met uitzaaiingen. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over bijnierkanker .",Bij bijnierkanker heb je niet altijd klachten. Sommige mensen krijgen een hoge bloeddruk of worden zwaarder zonder dat duidelijk is waarom. Of mensen krijgen snel blauwe plekken en hebben wondjes die niet goed genezen. Maar de klachten zijn niet bij iedereen hetzelfde.,Hierdoor is je kans op bijnierkanker groter: Beckwith-Wiedeman syndroom Li-Fraumeni syndroom Familiaire adenomateuze polyposis (FAP),"De meeste mensen met bijnierkanker krijgen een operatie. Dan verwijdert de arts je bijnier met de tumor erin. Maar je kunt ook medicijnen krijgen, zoals chemotherapie."
Buikvlieskanker,https://www.kanker.nl/kankersoorten/buikvlieskanker,2026-05-31 14:54:45,7fde6600b1f17ca4aabbb7c4541e50cce3a06792be40de3c6c5eaba9c71f8da5,Bij buikvlieskanker zitten er kankercellen op het buikvlies. Vaak zijn dit uitzaaiingen van kanker op een andere plek in je lichaam. Soms gaat het om pseudomyxoma peritonei of mesothelioom.,N/A,Door kankercellen op je buikvlies kun je verschillende klachten krijgen. Bijvoorbeeld: een opgezwollen buik buikpijn een vol gevoel in je maag benauwdheid steeds druk op je blaas,N/A,Samen met je arts bespreek je welke behandeling het meest geschikt is. Meestal is het doel van de behandeling om minder last te hebben van je klachten. Soms kun je ook langer leven door de behandeling.
Botkanker (botsarcoom),https://www.kanker.nl/kankersoorten/botkanker-botsarcoom,2026-05-31 14:54:39,252b6b4d85ba4af14d3b9b62947a4544fafd2794d452d76118d1ba4ff43976e4,Botkanker een zeldzame soort kanker. De kanker ontstaat in een bot. Dat kan in elk bot zijn. Een andere naam voor botkanker is botsarcoom.,"Veel mensen die net te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar vaak ook niet. Jouw kans om van botkanker te genezen of om lang zonder veel klachten te leven,  hangt af van verschillende dingen. Bijvoorbeeld van de soort botkanker , hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.","Van botkanker heb je in het begin niet zoveel klachten. Als de tumor groter wordt, kun je klachten krijgen. Bijvoorbeeld pijn aan een bot of gewricht.","Iedereen kan botkanker krijgen. Bij sommige soorten botkanker zijn er risicofactoren waardoor de kans dat je kanker krijgt, groter is. Bijvoorbeeld door de aandoening Li-frauminisyndroom (LFS) .","Veel mensen met botkanker krijgen een operatie. De chirurg verwijdert dan de tumor uit het bot. Je krijgt soms voor of na de operatie bestraling of chemotherapie. Welke behandeling je precies krijgt, hoor je van je arts. Dat ligt aan de soort botkanker , hoe groot de tumor is en of er uitzaaiingen zijn."
